pos,ndcg,P$@$k
0.0,,1.0
10.0,1.0,1.0
20.0,1.0,1.0
30.0,1.0,1.0
40.0,1.0,1.0
50.0,1.0,1.0
60.0,1.0,1.0
70.0,1.0,1.0
80.0,1.0,1.0
90.0,1.0,1.0
100.0,1.0,1.0
110.0,1.0,1.0
120.0,1.0,1.0
130.0,1.0,1.0
140.0,1.0,1.0
150.0,1.0,1.0
160.0,1.0,1.0
170.0,1.0,1.0
180.0,1.0,1.0
190.0,1.0,1.0
200.0,1.0,1.0
210.0,1.0,1.0
220.0,1.0,1.0
230.0,1.0,1.0
240.0,1.0,1.0
250.0,1.0,1.0
260.0,1.0,1.0
270.0,1.0,1.0
280.0,1.0,1.0
290.0,1.0,1.0
300.0,1.0,1.0
310.0,1.0,1.0
320.0,1.0,1.0
330.0,1.0,1.0
340.0,1.0,1.0
350.0,1.0,1.0
360.0,1.0,1.0
370.0,1.0,1.0
380.0,1.0,1.0
390.0,1.0,1.0
400.0,1.0,1.0
410.0,1.0,1.0
420.0,1.0,1.0
430.0,1.0,1.0
440.0,1.0,1.0
450.0,1.0,1.0
460.0,1.0,1.0
470.0,1.0,1.0
480.0,1.0,1.0
490.0,1.0,1.0
500.0,1.0,1.0
510.0,1.0,1.0
520.0,1.0,1.0
530.0,1.0,1.0
540.0,1.0,1.0
550.0,1.0,1.0
560.0,1.0,1.0
570.0,1.0,1.0
580.0,1.0,1.0
590.0,1.0,1.0
600.0,1.0,1.0
610.0,1.0,1.0
620.0,1.0,1.0
630.0,1.0,1.0
640.0,1.0,1.0
650.0,1.0,1.0
660.0,1.0,1.0
670.0,1.0,1.0
680.0,1.0,1.0
690.0,1.0,1.0
700.0,1.0,1.0
710.0,1.0,1.0
720.0,1.0,1.0
730.0,1.0,1.0
740.0,1.0,1.0
750.0,1.0,1.0
760.0,1.0,1.0
770.0,1.0,1.0
780.0,1.0,1.0
790.0,1.0,1.0
800.0,1.0,1.0
810.0,1.0,1.0
820.0,1.0,1.0
830.0,1.0,1.0
840.0,1.0,1.0
850.0,1.0,1.0
860.0,1.0,1.0
870.0,1.0,1.0
880.0,1.0,1.0
890.0,1.0,1.0
900.0,1.0,1.0
910.0,1.0,1.0
920.0,1.0,1.0
930.0,1.0,0.9989258861439313
940.0,0.9999910837808863,0.9883103081827843
950.0,0.9999911569885739,0.9779179810725552
960.0,0.9999824848105928,0.967741935483871
970.0,0.9999826258725534,0.9577754891864058
980.0,0.9999141510560734,0.9480122324159022
990.0,0.9998383455889697,0.9384460141271443
1000.0,0.9997554238404419,0.929070929070929
1010.0,0.9996739074412497,0.9198813056379822
1020.0,0.9996185437234588,0.910871694417238
1030.0,0.9996214494768298,0.9020368574199806
1040.0,0.999624307330003,0.8933717579250721
1050.0,0.9996271184977905,0.884871550903901
1060.0,0.9996298841535091,0.8765315739868049
1070.0,0.9997116417873287,0.8683473389355743
1080.0,0.9997921116588601,0.8603145235892692
